City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,Divnogorsk,55.9594,92.3619,34.29,60,95,14.56,RU,2022-05-08 00:38:50
161,Manzhouli,49.6,117.4333,57.85,28,0,8.37,CN,2022-05-08 00:38:50
162,Dikson,73.5069,80.5464,7.52,97,86,11.39,RU,2022-05-08 00:36:34
163,Nador,35.174,-2.9287,61.05,82,0,2.3,MA,2022-05-08 00:38:51
164,Diglur,18.55,77.6,88.45,30,6,3.18,IN,2022-05-08 00:38:52
165,Khatanga,71.9667,102.5,10.49,95,96,10.18,RU,2022-05-08 00:38:52
166,Alice Springs,-23.7,133.8833,53.15,47,0,8.05,AU,2022-05-08 00:38:53
167,Makat,47.6469,53.3463,52.84,48,100,24.83,KZ,2022-05-08 00:38:53
168,Taltal,-25.4,-70.4833,59.13,84,74,1.72,CL,2022-05-08 00:38:54
169,Paraguacu Paulista,-22.4128,-50.5758,58.33,81,5,7.11,BR,2022-05-08 00:38:54
170,Saint-Georges,12.0564,-61.7485,80.28,83,20,13.8,GD,2022-05-08 00:36:45
171,Mirnyy,62.5353,113.9611,42.24,65,39,18.01,RU,2022-05-08 00:38:55
172,Eyl,7.9803,49.8164,81.82,83,92,10.98,SO,2022-05-08 00:38:55
173,Pontianak,-0.0333,109.3333,75.18,94,20,3.44,ID,2022-05-08 00:38:56
174,Trogir,43.5125,16.2517,62.8,67,0,5.75,HR,2022-05-08 00:38:56
175,Gorontalo,0.5412,123.0595,83.66,82,100,1.01,ID,2022-05-08 00:38:57
176,Puerto Ayora,-0.7393,-90.3518,71.58,92,32,6.62,EC,2022-05-08 00:38:57
177,Soyo,-6.1349,12.3689,77.36,87,9,0.54,AO,2022-05-08 00:38:58
178,Uyemskiy,64.4743,40.8524,51.85,66,40,8.95,RU,2022-05-08 00:38:58
179,Christchurch,-43.5333,172.6333,67.41,75,20,9.22,NZ,2022-05-08 00:38:59
180,Coruripe,-10.1256,-36.1756,75.97,83,20,5.32,BR,2022-05-08 00:38:59
181,Port Said,31.2565,32.2841,67.33,59,100,9.17,EG,2022-05-08 00:39:00
182,Patacamaya,-17.2333,-67.9167,41.05,87,12,9.31,BO,2022-05-08 00:39:00
183,Viedma,-40.8135,-62.9967,66.43,37,7,16.42,AR,2022-05-08 00:39:01
184,Mount Isa,-20.7333,139.5,71.37,46,0,8.05,AU,2022-05-08 00:40:01
185,Kununurra,-15.7667,128.7333,78.78,24,0,11.5,AU,2022-05-08 00:36:14
186,Maniitsoq,65.4167,-52.9,26.02,79,4,10.22,GL,2022-05-08 00:40:02
187,Sigli,5.3848,95.9609,80.73,80,100,3.8,ID,2022-05-08 00:40:03
188,Waddan,29.1614,16.139,65.71,41,0,9.04,LY,2022-05-08 00:40:04
189,Foki,56.693,54.3499,40.28,78,53,4.38,RU,2022-05-08 00:40:04
190,Pindi Bhattian,31.8978,73.273,85.23,21,0,5.99,PK,2022-05-08 00:40:05
191,Verkhoyansk,67.5447,133.385,25.36,68,100,4.29,RU,2022-05-08 00:40:06
192,Yarada,17.65,83.2667,80.92,83,20,2.3,IN,2022-05-08 00:40:06
193,Geraldton,-28.7667,114.6,61.21,77,14,5.75,AU,2022-05-08 00:40:07
194,Gamba,-2.65,10.0,76.24,86,100,1.63,GA,2022-05-08 00:40:07
195,Ames,42.0347,-93.6199,70.52,30,0,20.71,US,2022-05-08 00:40:08
196,Esperance,-33.8667,121.9,57.04,44,48,17.49,AU,2022-05-08 00:40:08
197,Saint Anthony,45.0205,-93.218,73.33,27,0,20.71,US,2022-05-08 00:37:02
198,Mugur-Aksy,50.35,90.5,40.64,82,100,8.43,RU,2022-05-08 00:40:09
199,Boskovice,49.4875,16.66,53.46,87,100,3.83,CZ,2022-05-08 00:40:10
200,Catia La Mar,10.6038,-67.0303,80.8,89,75,6.91,VE,2022-05-08 00:40:10
201,Bluff,-46.6,168.3333,58.8,94,100,6.35,NZ,2022-05-08 00:39:40
202,Newport,51.5877,-2.9984,56.44,79,100,8.95,GB,2022-05-08 00:39:30
203,Tiznit,29.5833,-9.5,75.11,18,15,3.96,MA,2022-05-08 00:38:43
204,Manggar,-2.8833,108.2667,82.44,81,98,4.52,ID,2022-05-08 00:40:11
205,Souillac,-20.5167,57.5167,73.78,88,75,9.22,MU,2022-05-08 00:40:12
206,Rio Rancho,35.2334,-106.6645,86.14,11,0,25.32,US,2022-05-08 00:37:00
207,Axim,4.8699,-2.2405,79.97,84,62,5.44,GH,2022-05-08 00:40:13
208,La Ciotat,43.1748,5.6045,59.45,80,69,3.47,FR,2022-05-08 00:40:13
209,Ilulissat,69.2167,-51.1,28.42,64,2,0.0,GL,2022-05-08 00:40:14
210,Muisne,0.6,-80.0333,77.72,89,100,7.09,EC,2022-05-08 00:40:14
211,Saint Albans,51.75,-0.3333,53.83,87,100,5.75,GB,2022-05-08 00:40:00
212,Tasiilaq,65.6145,-37.6368,26.76,73,100,5.68,GL,2022-05-08 00:40:15
213,Belyy Yar,53.6039,91.3903,42.85,45,0,11.18,RU,2022-05-08 00:40:16
214,Marzuq,14.4,46.4667,72.99,37,6,6.64,YE,2022-05-08 00:40:16
215,Portland,45.5234,-122.6762,55.38,66,100,16.11,US,2022-05-08 00:37:56
216,Greenfield,42.9614,-88.0126,59.05,49,0,10.36,US,2022-05-08 00:38:24
217,Tura,25.5198,90.2201,78.15,67,0,1.23,IN,2022-05-08 00:40:17
218,Oussouye,12.485,-16.5469,75.38,74,6,4.85,SN,2022-05-08 00:40:18
219,Lamar,33.6668,-95.5836,80.51,69,0,14.97,US,2022-05-08 00:40:18
220,Namatanai,-3.6667,152.4333,85.05,70,39,12.12,PG,2022-05-08 00:40:19
221,Shingu,33.7333,135.9833,71.92,51,7,2.71,JP,2022-05-08 00:37:59
222,Saint-Pierre,-21.3393,55.4781,73.08,64,0,8.05,RE,2022-05-08 00:40:19
223,Cayenne,4.9333,-52.3333,81.09,1,75,5.01,GF,2022-05-08 00:35:42
224,Pula,44.8683,13.8481,61.36,72,0,6.91,HR,2022-05-08 00:40:20
225,Saint-Philippe,-21.3585,55.7679,72.99,85,38,11.01,RE,2022-05-08 00:36:39
226,Alofi,-19.0595,-169.9187,76.89,94,100,2.3,NU,2022-05-08 00:40:21
227,Sorong,-0.8833,131.25,84.36,71,49,1.39,ID,2022-05-08 00:40:22
228,Garowe,8.4054,48.4845,82.08,63,75,9.24,SO,2022-05-08 00:40:22
229,Bacarra,18.2529,120.6125,87.66,74,75,4.61,PH,2022-05-08 00:41:23
230,Tucuman,-26.8241,-65.2226,66.2,72,100,2.3,AR,2022-05-08 00:36:39
231,Xiaoshi,41.2971,124.1209,56.66,25,100,1.7,CN,2022-05-08 00:41:23
232,Kieta,-6.2167,155.6333,85.6,67,12,3.69,PG,2022-05-08 00:41:24
233,Athens,37.9795,23.7162,62.2,49,40,9.22,GR,2022-05-08 00:40:38
234,Fairbanks,64.8378,-147.7164,49.6,75,100,5.75,US,2022-05-08 00:38:14
235,Batagay,67.6333,134.6333,25.99,68,100,8.5,RU,2022-05-08 00:41:24
236,Barranca,-10.75,-77.7667,65.5,86,14,8.05,PE,2022-05-08 00:41:25
237,Lasa,46.6166,10.7002,52.68,92,96,2.44,IT,2022-05-08 00:41:25
238,Baruun-Urt,46.6806,113.2792,49.8,24,0,4.83,MN,2022-05-08 00:41:26
239,Jiuquan,39.7432,98.5174,61.25,34,49,6.22,CN,2022-05-08 00:41:27
240,Luena,-11.7833,19.9167,60.84,76,69,3.33,AO,2022-05-08 00:41:27
241,Hamilton,39.1834,-84.5333,60.04,74,100,10.36,US,2022-05-08 00:38:32
242,Warri,5.5167,5.75,76.82,95,95,2.64,NG,2022-05-08 00:41:28
243,Atherton,53.5237,-2.4935,51.75,75,100,1.99,GB,2022-05-08 00:41:28
244,Laguna,38.421,-121.4238,75.49,39,0,7.0,US,2022-05-08 00:41:29
245,Vao,-22.6667,167.4833,73.94,66,26,16.13,NC,2022-05-08 00:41:29
246,High Level,58.5169,-117.136,37.51,93,100,10.36,CA,2022-05-08 00:41:30
