City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Nyurba,RU,63.2842,118.3319,22.19,91,15,4.32,few clouds
253,Lompoc,US,34.6391,-120.4579,70.02,48,0,18.41,clear sky
254,Shimoda,JP,34.6667,138.95,53.1,90,100,16.11,overcast clouds
255,Norrtalje,SE,59.758,18.705,51.98,64,75,8.84,broken clouds
256,Brae,GB,60.3964,-1.353,49.62,92,100,25.86,light rain
257,Phalaborwa,ZA,-23.943,31.1411,67.69,68,58,0.85,broken clouds
258,Iquique,CL,-20.2208,-70.1431,66.24,72,8,8.05,clear sky
259,Esperance,AU,-33.8667,121.9,61.54,45,9,13.69,clear sky
260,Konevo,RU,62.1215,39.3192,35.11,75,10,2.53,clear sky
261,Mayumba,GA,-3.432,10.6554,78.84,91,59,8.5,broken clouds
262,Salalah,OM,17.0151,54.0924,82.49,83,0,3.44,clear sky
263,Pangnirtung,CA,66.1451,-65.7125,30.24,83,96,7.05,overcast clouds
264,Jardim,BR,-21.4803,-56.1381,90.09,28,37,4.09,scattered clouds
265,Kutum,SD,14.2,24.6667,84.0,7,2,8.93,clear sky
266,Taltal,CL,-25.4,-70.4833,67.95,63,24,3.74,few clouds
267,Gazanjyk,TM,39.2446,55.5154,64.44,50,5,5.41,clear sky
268,Ponta Delgada,PT,37.7333,-25.6667,65.12,72,40,6.91,scattered clouds
269,Archidona,ES,37.0965,-4.3887,63.91,51,97,5.82,overcast clouds
270,Kharan,PK,28.5833,65.4167,92.32,9,52,7.25,broken clouds
271,Constitucion,CL,-35.3333,-72.4167,61.83,77,100,10.67,overcast clouds
272,Sorland,NO,67.667,12.6934,44.46,95,100,30.71,light rain
273,Meulaboh,ID,4.1363,96.1285,78.64,87,100,0.65,overcast clouds
274,Jacqueville,CI,5.2052,-4.4146,82.24,79,25,12.68,scattered clouds
275,Bekhteyevka,RU,50.8072,37.2085,45.5,59,0,10.13,clear sky
276,Pundri,IN,29.75,76.55,89.08,28,0,11.21,clear sky
277,Kargasok,RU,59.0556,80.8572,43.41,63,31,7.99,scattered clouds
278,Tommot,RU,58.9564,126.2925,33.51,99,100,5.48,snow
279,Canton,CN,23.1167,113.25,76.95,81,98,7.07,overcast clouds
280,Geraldton,AU,-28.7667,114.6,59.41,94,100,6.91,overcast clouds
281,Orcopampa,PE,-15.2661,-72.3417,60.55,17,19,9.42,few clouds
282,Guerrero Negro,MX,27.9769,-114.0611,66.06,56,0,19.77,clear sky
283,Airai,TL,-8.9266,125.4092,57.47,79,94,2.28,overcast clouds
284,Kletnya,RU,53.3897,33.2171,39.72,67,14,6.31,few clouds
285,La Ronge,CA,55.1001,-105.2842,55.65,26,20,6.91,few clouds
286,Soyo,AO,-6.1349,12.3689,78.51,90,44,8.16,scattered clouds
287,Mitsamiouli,KM,-11.3847,43.2844,81.36,77,22,6.67,few clouds
288,Khandyga,RU,62.6667,135.6,26.85,99,87,2.46,overcast clouds
289,Kununurra,AU,-15.7667,128.7333,73.38,35,6,5.75,clear sky
290,Tura,IN,25.5198,90.2201,72.59,90,99,6.17,overcast clouds
291,Calama,CL,-22.4667,-68.9333,68.49,14,0,23.02,clear sky
292,Sorong,ID,-0.8833,131.25,79.77,89,100,15.95,overcast clouds
293,Maumere,ID,-8.6199,122.2111,81.32,77,99,7.54,overcast clouds
294,Manggar,ID,-2.8833,108.2667,82.56,78,99,4.52,overcast clouds
295,Saquena,PE,-4.6667,-73.5167,81.25,83,97,2.8,overcast clouds
296,Tanuma,JP,36.3667,139.5833,52.39,91,56,2.44,broken clouds
297,Henties Bay,NA,-22.116,14.2845,63.91,61,0,5.53,clear sky
298,Tessalit,ML,20.1986,1.0114,87.78,4,0,9.4,clear sky
299,Darhan,MN,49.4867,105.9228,31.1,79,17,5.75,few clouds
300,Miracema Do Tocantins,BR,-9.5618,-48.3967,88.84,43,4,4.9,clear sky
301,Axim,GH,4.8699,-2.2405,81.0,80,100,8.05,overcast clouds
302,Porto Novo,BJ,6.4965,2.6036,84.02,82,10,9.01,clear sky
303,Mazamari,PE,-11.3258,-74.5308,89.26,46,28,1.41,scattered clouds
304,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,66,3,3.8,clear sky
305,Mehran,IR,33.1222,46.1646,76.77,21,0,6.53,clear sky
306,Pustoshka,RU,56.3355,29.369,37.42,60,1,5.01,clear sky
307,Matara,LK,5.9485,80.5353,81.12,85,100,14.45,overcast clouds
308,Tucuma,BR,-0.1833,-50.05,77.02,90,100,2.48,moderate rain
309,Kaoma,ZM,-14.7833,24.8,69.4,49,91,1.39,overcast clouds
310,Vestmanna,FO,62.1564,-7.1664,47.32,93,75,12.66,broken clouds
311,Tumpat,MY,6.1978,102.171,78.78,89,20,2.3,light rain
312,Greeneville,US,36.1632,-82.831,73.92,51,0,1.99,haze
313,Puerto Maldonado,PE,-12.6,-69.1833,91.8,43,40,4.61,scattered clouds
314,Sulangan,PH,11.1373,123.7228,82.26,78,100,13.53,overcast clouds
315,Fortuna,US,40.5982,-124.1573,51.66,90,40,5.75,scattered clouds
316,Chadan,RU,51.2833,91.5833,38.07,40,88,2.8,overcast clouds
317,Visby,SE,57.6409,18.296,46.62,29,29,16.11,scattered clouds
318,Nishihara,JP,26.1842,127.7558,73.45,88,75,3.44,broken clouds
319,Djambala,CG,-2.5447,14.7533,72.34,84,96,4.29,light rain
320,Skovorodino,RU,53.9833,123.9167,42.3,68,100,3.0,overcast clouds
321,Kingman,US,35.1894,-114.053,67.19,10,0,21.85,clear sky
322,Osypenko,UA,46.9136,36.8253,53.65,85,59,13.47,broken clouds
323,Ineu,RO,46.4333,21.85,58.26,83,42,3.74,light rain
324,Aginskoye,RU,51.1,114.53,29.25,70,39,21.14,scattered clouds
325,Breyten,ZA,-26.3018,29.987,47.8,54,0,2.46,clear sky
326,Hull,GB,53.7446,-0.3353,66.43,52,100,14.97,overcast clouds
327,Benicarlo,ES,40.4165,0.4271,69.57,64,0,7.45,clear sky
328,Puerto El Triunfo,SV,13.2833,-88.55,92.32,68,100,7.09,overcast clouds
329,Nouadhibou,MR,20.931,-17.0347,67.98,88,100,18.41,overcast clouds
330,Hays,US,30.0502,-98.0336,94.08,57,0,8.01,clear sky
331,Mogadishu,SO,2.0371,45.3438,82.2,84,100,16.64,overcast clouds
332,Horasan,TR,40.0458,42.1728,45.27,79,100,3.11,overcast clouds
333,Mandalgovi,MN,45.7625,106.2708,37.04,41,100,11.77,overcast clouds
334,Tsuyama,JP,35.05,134.0,44.83,71,100,3.0,overcast clouds
335,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,54,50,15.05,scattered clouds
336,Bulnes,CL,-36.7423,-72.2985,57.96,52,22,5.7,few clouds
337,Tuensang,IN,26.2833,94.8333,66.52,96,58,2.21,broken clouds
