City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
636,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
639,Juybar,IR,64.49,few clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
640,Benguela,AO,75.88,clear sky,-12.5763,13.4055,Hotel Praia Morena
643,Mount Isa,AU,64.17,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
647,Caravelas,BR,74.35,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
648,Jimma,ET,63.05,broken clouds,7.6667,36.8333,Jimma Central Hotel - ጂማ ሴንትራል ሆቴል
652,Livingstone,ZM,64.67,clear sky,-17.8419,25.8543,Gloria's Bed and Breakfast
654,Antofagasta,CL,63.68,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
660,Quelimane,MZ,75.15,clear sky,-17.8786,36.8883,Hotel Flamingo
665,San Juan,AR,72.88,broken clouds,-31.5375,-68.5364,Hotel Provincial
666,Los Llanos De Aridane,ES,70.12,broken clouds,28.6585,-17.9182,Valle Aridane
668,Rahimatpur,IN,77.27,overcast clouds,17.6,74.2,Swami Prasad Ice-cream parlor
671,Chaman,PK,77.56,clear sky,30.9236,66.4512,Niamat parda Center chaman
672,Komsomolskiy,UZ,63.32,clear sky,40.4272,71.7189,Ikathouse
673,Oyama,JP,60.58,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
675,Banepa,NP,68.32,scattered clouds,27.6298,85.5214,Dhulikhel Lodge Resort
676,Ponferrada,ES,73.09,scattered clouds,42.5466,-6.5962,Hotel Temple Ponferrada
677,Maribong,PH,76.59,overcast clouds,11.1,122.5333,Highway Inn Pension House
681,Ponta Delgada,PT,66.92,few clouds,37.7333,-25.6667,Vila Nova Hotel
683,Buta,CD,71.51,light rain,2.7858,24.73,HOTEL BISO NA BISO
684,Paramonga,PE,68.61,few clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
685,Fukue,JP,65.07,moderate rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
693,Ginir,ET,60.13,scattered clouds,7.1333,40.7,Sura Dare Village
694,Abha,SA,69.62,clear sky,18.2164,42.5053,Abha Hotel
701,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
702,Banyo,CM,68.83,light rain,6.75,11.8167,Motel JOMBA
705,Camabatela,AO,66.4,broken clouds,-8.1881,15.375,Comércio e Prestação de Serviços
706,Ushtobe,KZ,63.18,light rain,45.2514,77.9838,Filipin Squad
708,Leeuwarden,NL,60.12,overcast clouds,53.2014,5.8086,Bastion Hotel Leeuwarden
709,Goderich,CA,75.52,overcast clouds,43.7501,-81.7165,Harmony Inn
710,Jos,NG,74.5,overcast clouds,9.9167,8.9,Silk Suites
711,Ducheng,CN,73.11,overcast clouds,23.2373,111.5317,Xinyongguang Hotel
712,Praya,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
717,Apc,HU,61.79,scattered clouds,47.7942,19.6943,Német
721,Gunjur,GM,77.07,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
722,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
723,Coquimbo,CL,60.53,few clouds,-29.9533,-71.3436,Hotel San Juan
